InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
559055,22083,PAPER CHAIN KIT RETROSPOT,1,7/5/2011 17:09,5.79,,United Kingdom
572677,22070,SMALL RED RETROSPOT MUG IN BOX ,1,10/25/2011 13:46,3.75,17596,United Kingdom
547253,22980,PANTRY SCRUBBING BRUSH,4,3/22/2011 10:44,1.65,13869,United Kingdom
548468,22222,CAKE PLATE LOVEBIRD WHITE,2,3/31/2011 12:28,4.95,14818,United Kingdom
570258,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2,10/10/2011 9:56,7.46,,United Kingdom
558086,22363,GLASS JAR MARMALADE ,1,6/26/2011 11:59,2.95,16728,United Kingdom
563771,21925,UNION STRIPE CUSHION COVER ,4,8/19/2011 11:17,1.25,17841,United Kingdom
581225,22192,BLUE DINER WALL CLOCK,2,12/8/2011 9:55,8.5,17677,United Kingdom
569905,23407,SET OF 2 TRAYS HOME SWEET HOME,2,10/6/2011 16:28,9.95,13549,United Kingdom
556237,20725,LUNCH BAG RED RETROSPOT,1,6/9/2011 15:34,4.13,,United Kingdom
540635,22567,20 DOLLY PEGS RETROSPOT,12,1/10/2011 12:03,1.25,14229,United Kingdom
C570291,20727,LUNCH BAG  BLACK SKULL.,-10,10/10/2011 11:56,1.65,12731,France
567866,22090,PAPER BUNTING RETROSPOT,5,9/22/2011 14:13,2.95,16669,United Kingdom
544470,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,2/21/2011 8:38,4.95,12707,France
550767,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,4/20/2011 12:32,0.42,14776,United Kingdom
573585,22104,MIRROR MOSAIC CANDLE PLATE,5,10/31/2011 14:41,1.63,,United Kingdom
568701,22294,HEART FILIGREE DOVE  SMALL,24,9/28/2011 15:07,1.25,13924,United Kingdom
580367,23298,SPOTTY BUNTING,1,12/2/2011 16:39,10.79,,United Kingdom
566190,85199S,SMALL HANGING IVORY/RED WOOD BIRD,10,9/9/2011 13:20,0.42,12748,United Kingdom
540566,22148,EASTER CRAFT 4 CHICKS ,2,1/10/2011 10:58,1.95,17811,United Kingdom
552229,21288,STRIPEY CHOCOLATE NESTING BOXES,1,5/6/2011 15:40,3.29,,United Kingdom
564734,20728,LUNCH BAG CARS BLUE,3,8/28/2011 13:32,1.65,12484,Spain
